covid_education_diary,covid_thehindu2,category_list
2,8,10
1,4,10
1,2,10
1,2,10
1,4,10
2,6,10
3,10,20
1,2,10
1,2,10
3,2,10
2,2,10
3,22,20
1,2,10
3,2,10
1,4,10
1,2,10
1,4,10
1,2,10
5,26,30
1,2,10
1,2,10
