covid_education_diary,covid_thehindu,category_list
1,12,10
2,8,10
3,6,20
1,2,10
2,2,10
1,2,10
2,12,10
1,2,10
3,24,20
1,4,10
1,6,10
1,2,10
1,10,10
1,2,10
1,14,10
1,2,10
5,8,30
1,6,10
