data_privacy_dark_reading,data_privacy_national_law_review,category_list
3,18,20
15,22,60
12,8,40
3,2,10
6,2,10
3,2,10
3,2,10
3,2,10
3,2,10
3,16,20
6,10,30
24,28,60
3,2,10
3,2,10
12,6,30
6,2,10
3,2,10
3,2,10
6,2,10
3,2,10
3,2,10
3,2,10
6,2,10
3,2,10
9,2,10
3,2,10
9,2,10
3,4,20
9,2,10
9,2,10
12,12,60
6,2,10
12,6,30
12,2,10
9,10,50
6,2,10
3,2,10
3,2,10
3,2,10
6,2,10
3,4,20
9,4,20
3,2,10
3,2,10
