covid_business_standard,covid_livemint,category_list
1,1,10
5,2,10
1,1,10
1,4,10
1,2,10
6,5,30
1,2,10
6,5,30
1,1,10
1,1,10
4,2,10
4,2,10
1,1,10
1,4,10
1,1,10
2,2,10
2,2,10
1,5,10
1,1,10
1,1,10
2,2,10
1,1,10
1,2,10
1,1,10
2,1,10
1,1,10
4,1,10
1,1,10
2,2,10
9,2,10
2,1,10
