covid_india_today,covid_livemint,category_list
11,2,10
1,1,10
1,1,10
1,3,10
3,5,20
5,1,10
1,1,10
1,1,10
1,2,10
11,5,30
2,1,10
1,1,10
2,1,10
4,2,10
1,1,10
1,1,10
3,3,20
2,1,10
4,3,20
2,2,10
1,1,10
2,1,10
1,1,10
1,1,10
2,1,10
1,2,10
10,2,10
