covid_business_standard,covid_thehindu,category_list
1,12,10
2,2,10
1,2,10
1,2,10
1,8,10
6,6,30
1,2,10
1,2,10
3,2,10
4,12,20
2,2,10
1,2,10
2,24,10
1,8,10
1,2,10
4,4,20
1,2,10
1,4,10
1,6,10
2,14,10
1,2,10
1,2,10
1,4,10
1,6,10
1,2,10
1,2,10
2,2,10
1,2,10
9,8,40
5,12,30
