covid_livemint1,covid_thehindu,category_list
1,2,10
1,2,10
1,6,10
1,8,10
2,6,10
1,2,10
1,2,10
1,4,10
1,12,10
3,24,20
3,14,20
2,14,10
1,2,10
1,2,10
2,12,10
1,6,10
1,2,10
1,2,10
1,14,10
1,2,10
2,2,10
1,2,10
1,4,10
9,8,40
1,6,10
