Words,data_privacy_cso_online,category_list
4,4,20
4,4,20
8,12,40
8,12,40
52,56,60
4,4,20
4,8,20
4,4,20
4,4,20
4,4,20
4,4,20
36,8,40
8,4,20
4,4,20
8,8,40
12,12,60
32,16,60
4,4,20
12,24,60
4,4,20
4,4,20
16,4,20
4,8,20
4,4,20
8,4,20
4,8,20
4,16,20
8,4,20
20,16,60
12,32,60
8,4,20
4,4,20
16,4,20
4,4,20
4,4,20
8,28,40
12,12,60
20,8,40
4,8,20
12,4,20
4,4,20
8,4,20
8,4,20
4,8,20
32,12,60
4,4,20
4,4,20
8,12,40
4,4,20
