covid_business_today,covid_india_today,category_list
8,11,40
1,1,10
9,3,20
2,5,10
1,1,10
8,11,40
1,2,10
1,1,10
4,1,10
1,2,10
3,4,20
1,1,10
2,3,10
1,4,10
1,2,10
1,1,10
2,1,10
2,1,10
11,1,10
2,1,10
7,10,40
2,2,10
