covid_business_standard,covid_livemint1,category_list
5,2,10
1,1,10
2,1,10
1,1,10
1,1,10
1,1,10
6,2,10
1,1,10
4,3,20
1,1,10
4,1,10
2,3,10
1,1,10
1,5,10
1,1,10
2,1,10
6,2,10
1,1,10
3,1,10
2,1,10
9,9,50
