covid_business_today,covid_thehindu2,category_list
8,8,40
1,4,10
1,2,10
2,4,10
2,2,10
1,6,10
8,10,40
1,12,10
4,2,10
1,12,10
6,2,10
1,2,10
3,22,20
1,2,10
1,10,10
1,2,10
1,2,10
2,4,10
2,2,10
1,4,10
1,2,10
2,4,10
1,4,10
1,2,10
1,2,10
1,2,10
1,2,10
5,2,10
11,6,30
7,26,40
2,16,10
