covid_livemint,covid_thehindu,category_list
1,2,10
2,8,10
5,6,30
1,2,10
2,2,10
1,2,10
2,12,10
1,2,10
2,24,10
1,2,10
1,2,10
1,2,10
3,10,20
1,14,10
1,2,10
1,2,10
1,2,10
1,2,10
2,8,10
