covid_livemint,covid_thehindu2,category_list
1,4,10
2,8,10
1,2,10
2,6,10
5,10,30
3,4,20
1,2,10
1,12,10
2,2,10
2,22,10
1,2,10
3,4,20
3,4,20
1,6,10
1,2,10
2,26,10
