covid_business_today,covid_education_diary,category_list
1,1,10
8,2,10
1,1,10
2,1,10
2,1,10
1,2,10
8,3,20
4,1,10
2,1,10
2,1,10
6,2,10
1,1,10
3,3,20
1,3,10
1,2,10
2,1,10
2,1,10
1,1,10
1,1,10
2,3,10
7,5,30
