covid_education_diary,covid_livemint1,category_list
2,2,10
1,1,10
2,1,10
3,2,10
1,1,10
4,1,10
2,1,10
3,3,20
1,1,10
1,1,10
1,1,10
1,1,10
1,2,10
1,1,10
1,1,10
3,1,10
5,9,30
1,1,10
