data_privacy_national_law_review,data_privacy_techopedia,category_list
4,12,20
18,6,30
2,3,10
22,12,60
8,3,20
2,3,10
2,3,10
4,9,20
28,3,20
2,3,10
6,3,20
2,3,10
8,6,30
2,3,10
2,15,10
4,6,20
2,21,10
2,6,10
2,3,10
12,21,60
6,3,20
2,3,10
2,12,10
2,3,10
2,6,10
2,3,10
2,3,10
4,3,20
10,3,20
4,3,20
2,6,10
