data_privacy_cso_online,data_privacy_dark_reading,category_list
12,3,20
16,3,20
56,15,60
4,3,20
4,3,20
4,3,20
4,3,20
8,6,30
4,3,20
8,6,30
12,3,20
8,3,20
4,6,20
16,24,60
4,3,20
4,3,20
4,12,20
4,3,20
24,12,60
4,3,20
8,3,20
4,3,20
8,6,30
8,6,30
8,6,30
16,9,50
4,3,20
4,6,20
16,3,20
16,9,50
8,9,40
32,12,60
4,3,20
12,6,30
8,3,20
4,3,20
4,3,20
4,3,20
4,3,20
20,3,20
8,18,40
4,12,20
28,9,50
4,3,20
12,6,30
8,6,30
4,3,20
4,3,20
4,6,20
8,3,20
4,6,20
4,9,20
12,3,20
4,3,20
