covid_india_today,covid_livemint1,category_list
11,2,10
10,1,10
1,1,10
11,2,10
1,1,10
2,1,10
4,3,20
2,1,10
3,1,10
2,1,10
1,1,10
1,3,10
1,1,10
1,2,10
1,1,10
10,9,50
3,1,10
