Words,data_privacy_euractiv.com,category_list
4,48,20
52,8,40
8,16,40
4,16,20
8,8,40
4,8,20
4,8,20
8,8,40
8,24,40
32,40,60
4,16,20
4,8,20
4,16,20
12,8,40
4,8,20
12,8,40
4,8,20
20,24,60
12,48,60
8,8,40
4,16,20
4,8,20
8,8,40
20,16,60
4,8,20
12,8,40
4,8,20
4,8,20
