covid_thehindu,covid_thehindu2,category_list
12,4,20
8,6,30
6,10,30
2,2,10
2,2,10
2,12,10
2,2,10
2,4,10
10,2,10
4,2,10
2,2,10
4,12,20
12,2,10
24,22,60
10,6,30
14,6,30
14,2,10
2,2,10
2,4,10
4,10,20
12,6,30
10,2,10
6,2,10
10,4,20
4,2,10
4,4,20
2,2,10
2,6,10
4,2,10
2,2,10
2,8,10
2,2,10
8,26,40
12,16,60
