covid_livemint,covid_livemint1,category_list
2,2,10
1,3,10
1,1,10
2,1,10
5,2,10
1,1,10
2,2,10
1,1,10
2,1,10
2,3,10
3,1,10
1,1,10
1,1,10
2,1,10
2,9,10
