covid_india_today,covid_thehindu2,category_list
11,8,40
1,2,10
1,2,10
4,4,20
1,8,10
1,2,10
1,6,10
11,10,50
2,12,10
1,2,10
6,2,10
4,22,20
2,2,10
1,10,10
3,4,20
1,2,10
4,4,20
2,4,10
1,2,10
2,2,10
1,4,10
1,6,10
10,26,50
2,16,10
1,2,10
