Words,data_privacy_dark_reading,category_list
8,3,20
52,15,60
8,12,40
4,3,20
4,3,20
8,3,20
4,3,20
36,6,30
8,3,20
4,15,20
8,6,30
4,3,20
4,3,20
4,6,20
12,3,20
32,24,60
4,3,20
4,3,20
4,3,20
12,12,60
12,3,20
4,3,20
8,9,40
4,6,20
4,9,20
4,3,20
20,9,50
12,12,60
8,3,20
8,12,40
4,3,20
4,3,20
4,6,20
8,9,40
12,6,30
20,6,30
8,3,20
4,3,20
4,3,20
8,3,20
4,3,20
8,3,20
4,3,20
