Words,data_privacy_national_law_review,category_list
4,2,10
52,22,60
8,8,40
4,6,20
8,2,10
4,2,10
4,6,20
8,2,10
8,2,10
4,2,10
12,16,60
8,2,10
8,4,20
32,28,60
4,2,10
4,2,10
12,2,10
4,2,10
8,2,10
4,2,10
20,2,10
12,12,60
4,2,10
8,6,30
4,2,10
16,2,10
8,10,40
20,2,10
8,2,10
8,10,40
4,4,20
32,2,10
4,2,10
4,2,10
8,2,10
