covid_education_diary,covid_livemint,category_list
1,1,10
2,2,10
2,1,10
1,1,10
1,1,10
1,1,10
2,2,10
3,5,20
2,2,10
1,1,10
3,2,10
1,3,10
1,3,10
1,3,10
1,1,10
3,2,10
5,2,10
