covid_thehindu,covid_the_times_of_india,category_list
2,1,10
2,1,10
2,2,10
2,1,10
2,2,10
6,1,10
8,2,10
6,6,30
2,2,10
2,1,10
4,1,10
4,1,10
12,2,10
2,1,10
2,1,10
24,2,10
2,1,10
14,2,10
14,1,10
2,1,10
2,1,10
12,2,10
6,2,10
2,1,10
4,1,10
14,2,10
2,1,10
2,1,10
4,1,10
8,7,40
12,7,40
6,1,10
