data_privacy_cso_online,data_privacy_lexology,category_list
4,13,20
8,26,40
4,13,20
4,13,20
4,26,20
16,208,60
8,13,40
4,39,20
4,26,20
8,13,40
4,13,20
4,13,20
4,13,20
8,13,40
16,26,60
16,26,60
32,52,60
8,13,40
4,13,20
4,13,20
4,13,20
4,104,20
4,13,20
8,13,40
4,13,20
8,13,40
8,26,40
4,13,20
8,13,40
