data_privacy_lexology,data_privacy_techopedia,category_list
13,3,20
26,12,60
208,3,20
39,3,20
13,6,30
26,6,30
26,21,60
13,3,20
52,21,60
13,3,20
13,12,60
13,3,20
26,3,20
13,3,20
13,6,30
39,3,20
