data_privacy_cso_online,data_privacy_euractiv.com,category_list
4,8,20
4,8,20
56,8,40
8,16,40
4,24,20
4,8,20
4,16,20
4,16,20
16,40,60
4,8,20
4,16,20
24,8,40
4,8,20
8,8,40
16,8,40
4,8,20
16,24,60
32,48,60
4,16,20
28,8,40
4,16,20
8,16,40
8,8,40
4,8,20
8,8,40
4,8,20
4,16,20
4,8,20
4,8,20
4,8,20
