data_privacy_cso_online,data_privacy_techopedia,category_list
4,3,20
12,3,20
4,12,20
4,3,20
16,6,30
56,12,60
4,3,20
4,6,20
8,33,40
4,12,20
4,6,20
4,3,20
4,6,20
16,3,20
4,3,20
4,3,20
24,3,20
4,3,20
8,6,30
4,3,20
4,15,20
8,6,30
4,3,20
4,3,20
16,6,30
16,21,60
8,6,30
32,21,60
4,3,20
4,12,20
4,3,20
4,6,20
4,3,20
4,3,20
8,3,20
4,3,20
4,6,20
12,3,20
4,3,20
4,9,20
4,3,20
