covid_business_today,covid_livemint,category_list
1,1,10
8,2,10
1,1,10
2,4,10
9,5,30
2,1,10
1,2,10
8,5,30
1,1,10
1,1,10
4,2,10
1,1,10
7,2,10
1,3,10
6,2,10
1,1,10
2,4,10
1,1,10
3,2,10
3,1,10
1,2,10
2,5,10
2,3,10
1,3,10
2,2,10
1,1,10
6,1,10
1,1,10
2,2,10
7,2,10
2,1,10
