covid_india_today,covid_thehindu,category_list
1,2,10
4,12,20
10,2,10
1,2,10
1,8,10
11,6,30
2,2,10
3,2,10
1,2,10
2,2,10
4,4,20
2,2,10
2,2,10
1,2,10
4,24,20
1,8,10
1,2,10
1,2,10
1,4,10
2,2,10
4,10,20
2,4,10
1,2,10
1,2,10
1,6,10
1,2,10
1,14,10
1,2,10
1,4,10
1,2,10
1,2,10
10,8,40
2,12,10
3,6,20
