covid_education_diary,covid_the_times_of_india,category_list
1,1,10
2,3,10
1,1,10
1,1,10
1,1,10
2,2,10
3,6,20
1,1,10
1,1,10
2,2,10
1,1,10
10,1,10
3,2,10
1,1,10
1,1,10
1,1,10
1,2,10
1,1,10
1,4,10
1,2,10
1,2,10
5,7,30
1,1,10
