covid_education_diary,covid_india_today,category_list
2,11,10
1,1,10
1,4,10
1,1,10
1,3,10
1,5,10
2,1,10
3,11,20
1,1,10
1,2,10
3,4,20
1,2,10
1,3,10
1,2,10
1,4,10
1,1,10
1,1,10
1,1,10
3,1,10
5,10,30
1,2,10
1,3,10
1,1,10
