covid_india_today,covid_the_times_of_india,category_list
11,3,20
1,1,10
1,1,10
1,1,10
3,1,10
10,1,10
1,2,10
11,6,30
2,1,10
4,1,10
1,1,10
2,1,10
2,1,10
4,2,10
2,1,10
3,1,10
2,1,10
1,1,10
2,1,10
2,1,10
1,5,10
1,2,10
2,1,10
3,1,10
10,7,40
2,7,10
3,1,10
