covid_thehindu2,covid_the_times_of_india,category_list
4,1,10
8,3,20
2,1,10
2,1,10
4,1,10
2,1,10
8,1,10
2,1,10
6,4,20
6,4,20
2,1,10
4,2,10
6,2,10
10,6,30
2,1,10
2,1,10
2,2,10
12,1,10
2,1,10
12,1,10
4,1,10
2,2,10
22,2,10
6,2,10
2,1,10
2,1,10
2,1,10
6,2,10
2,6,10
4,1,10
2,2,10
2,1,10
4,1,10
10,4,20
2,1,10
2,1,10
2,1,10
4,5,20
4,1,10
2,2,10
2,1,10
26,7,40
16,7,40
8,1,10
