covid_business_today,covid_thehindu,category_list
1,2,10
1,2,10
1,8,10
8,6,30
4,2,10
1,2,10
1,2,10
4,2,10
1,4,10
6,12,30
1,2,10
3,24,20
1,2,10
1,4,10
2,6,10
1,10,10
1,2,10
1,4,10
1,2,10
1,2,10
2,2,10
7,8,40
2,12,10
3,2,10
