covid_livemint,covid_the_times_of_india,category_list
1,1,10
2,3,10
2,1,10
1,3,10
5,1,10
2,2,10
5,6,30
1,1,10
1,1,10
1,1,10
2,2,10
1,1,10
2,2,10
2,1,10
1,1,10
3,1,10
2,1,10
1,2,10
1,1,10
1,1,10
2,7,10
1,1,10
