data_privacy_euractiv.com,data_privacy_techopedia,category_list
8,12,40
16,3,20
8,3,20
24,3,20
8,6,30
16,3,20
24,9,50
40,3,20
16,3,20
8,3,20
8,3,20
16,3,20
8,3,20
8,6,30
8,6,30
8,3,20
8,6,30
24,21,60
16,3,20
48,21,60
32,3,20
32,3,20
8,3,20
8,3,20
8,3,20
