covid_business_standard,covid_thehindu2,category_list
5,8,30
1,4,10
1,2,10
1,4,10
1,2,10
1,6,10
6,10,30
1,12,10
3,2,10
1,2,10
4,2,10
2,22,10
1,2,10
1,2,10
4,10,20
1,2,10
1,2,10
1,2,10
1,4,10
3,2,10
13,6,30
9,26,50
5,16,30
1,2,10
