covid_business_today,covid_the_times_of_india,category_list
1,1,10
1,1,10
8,3,20
1,2,10
1,1,10
2,1,10
1,2,10
9,1,10
2,1,10
1,2,10
8,6,30
2,1,10
8,5,30
1,1,10
1,1,10
6,2,10
1,1,10
3,2,10
1,1,10
2,1,10
2,1,10
2,2,10
1,1,10
2,4,10
6,1,10
7,7,40
2,7,10
