covid_business_today,covid_livemint1,category_list
8,2,10
1,1,10
1,1,10
1,1,10
2,1,10
1,1,10
8,2,10
1,1,10
8,3,20
1,1,10
1,1,10
6,1,10
3,3,20
2,1,10
2,1,10
2,1,10
3,1,10
1,2,10
2,2,10
5,1,10
2,1,10
7,9,40
