data_privacy_lexology,data_privacy_national_law_review,category_list
39,2,10
13,4,20
13,2,10
13,2,10
26,6,30
26,2,10
13,2,10
26,2,10
208,28,60
26,4,20
13,4,20
39,6,30
26,2,10
13,2,10
13,2,10
13,2,10
13,2,10
13,2,10
26,4,20
26,2,10
52,12,60
13,4,20
13,2,10
13,2,10
117,2,10
13,2,10
26,2,10
26,2,10
13,2,10
26,2,10
13,2,10
13,2,10
