covid_livemint1,covid_thehindu2,category_list
2,8,10
1,2,10
2,2,10
4,6,20
4,6,20
1,2,10
2,4,10
1,2,10
1,6,10
1,2,10
2,10,10
1,2,10
1,12,10
1,12,10
1,2,10
3,22,20
1,2,10
1,2,10
3,6,20
2,2,10
1,2,10
2,6,10
5,2,10
1,4,10
1,2,10
1,10,10
1,2,10
1,2,10
2,2,10
3,4,20
2,2,10
1,2,10
1,2,10
9,26,50
1,8,10
