,Words,data_privacy_computer_weekly,data_privacy_cso_online,data_privacy_dark_reading,data_privacy_euractiv.com,data_privacy_help_net_security,data_privacy_information_security_buzz,data_privacy_lexology,data_privacy_national_law_review,data_privacy_techopedia,data_privacy_tech_monitor
0,data,32,16,24,40,4,16,208,28,3,4
1,ons,12,32,12,48,14,12,52,12,21,10
